station,date,rain_mm,lat,lon
Campalagian,2022-08,214,-3.460856,119.15728
Campalagian,2022-09,107,-3.460856,119.15728
Campalagian,2022-10,128,-3.460856,119.15728
Campalagian,2022-11,149,-3.460856,119.15728
Campalagian,2022-12,123,-3.460856,119.15728
Campalagian,2023-01,188,-3.460856,119.15728
Campalagian,2023-02,234,-3.460856,119.15728
Campalagian,2023-03,231,-3.460856,119.15728
Campalagian,2023-04,194,-3.460856,119.15728
Campalagian,2023-05,271,-3.460856,119.15728
Campalagian,2023-06,213,-3.460856,119.15728
Campalagian,2023-07,115,-3.460856,119.15728
Campalagian,2023-08,253,-3.460856,119.15728
Campalagian,2023-09,215,-3.460856,119.15728
Campalagian,2023-10,227,-3.460856,119.15728
Campalagian,2023-11,213,-3.460856,119.15728
Campalagian,2023-12,211,-3.460856,119.15728
Wonomulyo,2013-01,118,-3.459802,119.237777
Wonomulyo,2013-02,212,-3.459802,119.237777
Wonomulyo,2013-03,259,-3.459802,119.237777
Wonomulyo,2013-04,161,-3.459802,119.237777
Wonomulyo,2013-05,221,-3.459802,119.237777
Wonomulyo,2013-06,106,-3.459802,119.237777
Wonomulyo,2013-07,169,-3.459802,119.237777
Wonomulyo,2013-08,187,-3.459802,119.237777
Wonomulyo,2013-09,297,-3.459802,119.237777
Wonomulyo,2013-10,143,-3.459802,119.237777
Wonomulyo,2013-11,155,-3.459802,119.237777
Wonomulyo,2013-12,182,-3.459802,119.237777
Wonomulyo,2014-01,299,-3.459802,119.237777
Wonomulyo,2014-02,271,-3.459802,119.237777
Wonomulyo,2014-03,106,-3.459802,119.237777
Wonomulyo,2014-04,147,-3.459802,119.237777
Wonomulyo,2014-05,265,-3.459802,119.237777
Wonomulyo,2014-06,111,-3.459802,119.237777
Wonomulyo,2014-07,271,-3.459802,119.237777
Wonomulyo,2014-08,156,-3.459802,119.237777
Wonomulyo,2014-09,284,-3.459802,119.237777
Wonomulyo,2014-10,159,-3.459802,119.237777
Wonomulyo,2014-11,187,-3.459802,119.237777
Wonomulyo,2014-12,233,-3.459802,119.237777
Wonomulyo,2015-01,125,-3.459802,119.237777
Wonomulyo,2015-02,211,-3.459802,119.237777
Wonomulyo,2015-03,201,-3.459802,119.237777
Wonomulyo,2015-04,257,-3.459802,119.237777
Wonomulyo,2015-05,300,-3.459802,119.237777
Wonomulyo,2015-06,233,-3.459802,119.237777
Wonomulyo,2015-07,182,-3.459802,119.237777
Wonomulyo,2015-08,181,-3.459802,119.237777
Wonomulyo,2015-09,184,-3.459802,119.237777
Wonomulyo,2015-10,263,-3.459802,119.237777
Wonomulyo,2015-11,164,-3.459802,119.237777
Wonomulyo,2015-12,133,-3.459802,119.237777
Wonomulyo,2016-01,167,-3.459802,119.237777
Wonomulyo,2016-02,104,-3.459802,119.237777
Wonomulyo,2016-03,121,-3.459802,119.237777
Wonomulyo,2016-04,118,-3.459802,119.237777
Wonomulyo,2016-05,255,-3.459802,119.237777
Wonomulyo,2016-06,245,-3.459802,119.237777
Wonomulyo,2016-07,240,-3.459802,119.237777
Wonomulyo,2016-08,192,-3.459802,119.237777
Wonomulyo,2016-09,244,-3.459802,119.237777
Wonomulyo,2016-10,132,-3.459802,119.237777
Wonomulyo,2016-11,281,-3.459802,119.237777
Wonomulyo,2016-12,200,-3.459802,119.237777
Wonomulyo,2017-01,288,-3.459802,119.237777
Wonomulyo,2017-02,130,-3.459802,119.237777
Wonomulyo,2017-03,199,-3.459802,119.237777
Wonomulyo,2017-04,239,-3.459802,119.237777
Wonomulyo,2017-05,199,-3.459802,119.237777
Wonomulyo,2017-06,189,-3.459802,119.237777
Wonomulyo,2017-07,133,-3.459802,119.237777
Wonomulyo,2017-08,176,-3.459802,119.237777
Wonomulyo,2017-09,147,-3.459802,119.237777
Wonomulyo,2017-10,160,-3.459802,119.237777
Wonomulyo,2017-11,237,-3.459802,119.237777
Wonomulyo,2017-12,226,-3.459802,119.237777
Wonomulyo,2018-01,222,-3.459802,119.237777
Wonomulyo,2018-02,172,-3.459802,119.237777
Wonomulyo,2018-03,292,-3.459802,119.237777
Wonomulyo,2018-04,117,-3.459802,119.237777
Wonomulyo,2018-05,168,-3.459802,119.237777
Wonomulyo,2018-06,123,-3.459802,119.237777
Wonomulyo,2018-07,168,-3.459802,119.237777
Wonomulyo,2018-08,293,-3.459802,119.237777
Wonomulyo,2018-09,173,-3.459802,119.237777
Wonomulyo,2018-10,282,-3.459802,119.237777
Wonomulyo,2018-11,199,-3.459802,119.237777
Wonomulyo,2018-12,240,-3.459802,119.237777
Wonomulyo,2019-01,191,-3.459802,119.237777
Wonomulyo,2019-02,153,-3.459802,119.237777
Wonomulyo,2019-03,253,-3.459802,119.237777
Wonomulyo,2019-04,294,-3.459802,119.237777
Wonomulyo,2019-05,152,-3.459802,119.237777
Wonomulyo,2019-06,256,-3.459802,119.237777
Wonomulyo,2019-07,152,-3.459802,119.237777
Wonomulyo,2019-08,244,-3.459802,119.237777
Wonomulyo,2019-09,258,-3.459802,119.237777
Wonomulyo,2019-10,190,-3.459802,119.237777
Wonomulyo,2019-11,248,-3.459802,119.237777
Wonomulyo,2019-12,154,-3.459802,119.237777
Wonomulyo,2020-01,115,-3.459802,119.237777
Wonomulyo,2020-02,119,-3.459802,119.237777
Wonomulyo,2020-03,189,-3.459802,119.237777
Wonomulyo,2020-04,281,-3.459802,119.237777
Wonomulyo,2020-05,125,-3.459802,119.237777
Wonomulyo,2020-06,191,-3.459802,119.237777
Wonomulyo,2020-07,241,-3.459802,119.237777
Wonomulyo,2020-08,140,-3.459802,119.237777
Wonomulyo,2020-09,245,-3.459802,119.237777
Wonomulyo,2020-10,161,-3.459802,119.237777
Wonomulyo,2020-11,262,-3.459802,119.237777
Wonomulyo,2020-12,216,-3.459802,119.237777
Wonomulyo,2021-01,209,-3.459802,119.237777
Wonomulyo,2021-02,135,-3.459802,119.237777
Wonomulyo,2021-03,193,-3.459802,119.237777
Wonomulyo,2021-04,272,-3.459802,119.237777
Wonomulyo,2021-05,103,-3.459802,119.237777
Wonomulyo,2021-06,252,-3.459802,119.237777
Wonomulyo,2021-07,199,-3.459802,119.237777
Wonomulyo,2021-08,244,-3.459802,119.237777
Wonomulyo,2021-09,233,-3.459802,119.237777
Wonomulyo,2021-10,186,-3.459802,119.237777
Wonomulyo,2021-11,162,-3.459802,119.237777
Wonomulyo,2021-12,226,-3.459802,119.237777
Wonomulyo,2022-01,128,-3.459802,119.237777
Wonomulyo,2022-02,217,-3.459802,119.237777
Wonomulyo,2022-03,119,-3.459802,119.237777
Wonomulyo,2022-04,230,-3.459802,119.237777
Wonomulyo,2022-05,226,-3.459802,119.237777
Wonomulyo,2022-06,116,-3.459802,119.237777
Wonomulyo,2022-07,252,-3.459802,119.237777
Wonomulyo,2022-08,183,-3.459802,119.237777
Wonomulyo,2022-09,258,-3.459802,119.237777
Wonomulyo,2022-10,108,-3.459802,119.237777
Wonomulyo,2022-11,136,-3.459802,119.237777
Wonomulyo,2022-12,199,-3.459802,119.237777
Wonomulyo,2023-01,137,-3.459802,119.237777
Wonomulyo,2023-02,166,-3.459802,119.237777
Wonomulyo,2023-03,232,-3.459802,119.237777
Wonomulyo,2023-04,129,-3.459802,119.237777
Wonomulyo,2023-05,236,-3.459802,119.237777
Wonomulyo,2023-06,120,-3.459802,119.237777
Wonomulyo,2023-07,135,-3.459802,119.237777
Wonomulyo,2023-08,218,-3.459802,119.237777
Wonomulyo,2023-09,259,-3.459802,119.237777
Wonomulyo,2023-10,134,-3.459802,119.237777
Wonomulyo,2023-11,160,-3.459802,119.237777
Wonomulyo,2023-12,285,-3.459802,119.237777
Polewali,2013-01,298,-3.4333,119.3333
Polewali,2013-02,216,-3.4333,119.3333
Polewali,2013-03,189,-3.4333,119.3333
Polewali,2013-04,169,-3.4333,119.3333
Polewali,2013-05,223,-3.4333,119.3333
Polewali,2013-06,218,-3.4333,119.3333
Polewali,2013-07,159,-3.4333,119.3333
Polewali,2013-08,104,-3.4333,119.3333
Polewali,2013-09,130,-3.4333,119.3333
Polewali,2013-10,292,-3.4333,119.3333
Polewali,2013-11,184,-3.4333,119.3333
Polewali,2013-12,196,-3.4333,119.3333
Polewali,2014-01,193,-3.4333,119.3333
Polewali,2014-02,257,-3.4333,119.3333
Polewali,2014-03,113,-3.4333,119.3333
Polewali,2014-04,116,-3.4333,119.3333
Polewali,2014-05,155,-3.4333,119.3333
Polewali,2014-06,197,-3.4333,119.3333
Polewali,2014-07,234,-3.4333,119.3333
Polewali,2014-08,198,-3.4333,119.3333
Polewali,2014-09,188,-3.4333,119.3333
Polewali,2014-10,288,-3.4333,119.3333
Polewali,2014-11,132,-3.4333,119.3333
Polewali,2014-12,214,-3.4333,119.3333
Polewali,2015-01,208,-3.4333,119.3333
Polewali,2015-02,195,-3.4333,119.3333
Polewali,2015-03,262,-3.4333,119.3333
Polewali,2015-04,153,-3.4333,119.3333
Polewali,2015-05,291,-3.4333,119.3333
Polewali,2015-06,166,-3.4333,119.3333
Polewali,2015-07,209,-3.4333,119.3333
Polewali,2015-08,204,-3.4333,119.3333
Polewali,2015-09,270,-3.4333,119.3333
Polewali,2015-10,188,-3.4333,119.3333
Polewali,2015-11,157,-3.4333,119.3333
Polewali,2015-12,104,-3.4333,119.3333
Polewali,2016-01,173,-3.4333,119.3333
Polewali,2016-02,266,-3.4333,119.3333
Polewali,2016-03,101,-3.4333,119.3333
Polewali,2016-04,280,-3.4333,119.3333
Polewali,2016-05,209,-3.4333,119.3333
Polewali,2016-06,128,-3.4333,119.3333
Polewali,2016-07,160,-3.4333,119.3333
Polewali,2016-08,211,-3.4333,119.3333
Polewali,2016-09,163,-3.4333,119.3333
Polewali,2016-10,121,-3.4333,119.3333
Polewali,2016-11,233,-3.4333,119.3333
Polewali,2016-12,235,-3.4333,119.3333
Polewali,2017-01,123,-3.4333,119.3333
Polewali,2017-02,156,-3.4333,119.3333
Polewali,2017-03,149,-3.4333,119.3333
Polewali,2017-04,232,-3.4333,119.3333
Polewali,2017-05,246,-3.4333,119.3333
Polewali,2017-06,246,-3.4333,119.3333
Polewali,2017-07,288,-3.4333,119.3333
Polewali,2017-08,254,-3.4333,119.3333
Polewali,2017-09,164,-3.4333,119.3333
Polewali,2017-10,121,-3.4333,119.3333
Polewali,2017-11,223,-3.4333,119.3333
Polewali,2017-12,284,-3.4333,119.3333
Polewali,2018-01,296,-3.4333,119.3333
Polewali,2018-02,146,-3.4333,119.3333
Polewali,2018-03,147,-3.4333,119.3333
Polewali,2018-04,107,-3.4333,119.3333
Polewali,2018-05,128,-3.4333,119.3333
Polewali,2018-06,211,-3.4333,119.3333
Polewali,2018-07,209,-3.4333,119.3333
Polewali,2018-08,174,-3.4333,119.3333
Polewali,2018-09,162,-3.4333,119.3333
Polewali,2018-10,266,-3.4333,119.3333
Polewali,2018-11,192,-3.4333,119.3333
Polewali,2018-12,262,-3.4333,119.3333
Polewali,2019-01,293,-3.4333,119.3333
Polewali,2019-02,163,-3.4333,119.3333
Polewali,2019-03,140,-3.4333,119.3333
Polewali,2019-04,291,-3.4333,119.3333
Polewali,2019-05,227,-3.4333,119.3333
Polewali,2019-06,158,-3.4333,119.3333
Polewali,2019-07,224,-3.4333,119.3333
Polewali,2019-08,203,-3.4333,119.3333
Polewali,2019-09,282,-3.4333,119.3333
Polewali,2019-10,151,-3.4333,119.3333
Polewali,2019-11,299,-3.4333,119.3333
Polewali,2019-12,288,-3.4333,119.3333
Polewali,2020-01,136,-3.4333,119.3333
Polewali,2020-02,133,-3.4333,119.3333
Polewali,2020-03,207,-3.4333,119.3333
Polewali,2020-04,109,-3.4333,119.3333
Polewali,2020-05,160,-3.4333,119.3333
Polewali,2020-06,187,-3.4333,119.3333
Polewali,2020-07,294,-3.4333,119.3333
Polewali,2020-08,299,-3.4333,119.3333
Polewali,2020-09,130,-3.4333,119.3333
Polewali,2020-10,279,-3.4333,119.3333
Polewali,2020-11,118,-3.4333,119.3333
Polewali,2020-12,250,-3.4333,119.3333
Polewali,2021-01,269,-3.4333,119.3333
Polewali,2021-02,279,-3.4333,119.3333
Polewali,2021-03,144,-3.4333,119.3333
Polewali,2021-04,279,-3.4333,119.3333
Polewali,2021-05,123,-3.4333,119.3333
Polewali,2021-06,204,-3.4333,119.3333
Polewali,2021-07,194,-3.4333,119.3333
Polewali,2021-08,163,-3.4333,119.3333
Polewali,2021-09,104,-3.4333,119.3333
Polewali,2021-10,255,-3.4333,119.3333
Polewali,2021-11,167,-3.4333,119.3333
Polewali,2021-12,232,-3.4333,119.3333
Polewali,2022-01,182,-3.4333,119.3333
Polewali,2022-02,175,-3.4333,119.3333
Polewali,2022-03,278,-3.4333,119.3333
Polewali,2022-04,118,-3.4333,119.3333
Polewali,2022-05,248,-3.4333,119.3333
Polewali,2022-06,250,-3.4333,119.3333
Polewali,2022-07,176,-3.4333,119.3333
Polewali,2022-08,152,-3.4333,119.3333
Polewali,2022-09,101,-3.4333,119.3333
Polewali,2022-10,288,-3.4333,119.3333
Polewali,2022-11,290,-3.4333,119.3333
Polewali,2022-12,148,-3.4333,119.3333
Polewali,2023-01,106,-3.4333,119.3333
Polewali,2023-02,124,-3.4333,119.3333
Polewali,2023-03,113,-3.4333,119.3333
Polewali,2023-04,267,-3.4333,119.3333
Polewali,2023-05,279,-3.4333,119.3333
Polewali,2023-06,130,-3.4333,119.3333
Polewali,2023-07,250,-3.4333,119.3333
Polewali,2023-08,136,-3.4333,119.3333
Polewali,2023-09,173,-3.4333,119.3333
Polewali,2023-10,220,-3.4333,119.3333
Polewali,2023-11,244,-3.4333,119.3333
Polewali,2023-12,275,-3.4333,119.3333
